127.0.0.1 - - [20/Sep/2024:09:08:00 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [20/Sep/2024:09:09:59 +0900] "GET /edu/cssexam/exam5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2024:09:09:59 +0900] "GET /edu/images/olaf.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2024:09:09:59 +0900] "GET /edu/images/totoro.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2024:09:09:59 +0900] "GET /edu/images/duke.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2024:09:09:59 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [20/Sep/2024:09:10:34 +0900] "GET /edu/cssexam/homework2.html HTTP/1.1" 200 3497
192.168.5.8 - - [20/Sep/2024:09:31:12 +0900] "GET /edu/cssexam/homework2.html HTTP/1.1" 200 3497
192.168.5.8 - - [20/Sep/2024:09:31:12 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [20/Sep/2024:09:33:39 +0900] "GET /edu/cssexam/homework2.html HTTP/1.1" 200 3516
0:0:0:0:0:0:0:1 - - [20/Sep/2024:11:07:37 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [20/Sep/2024:11:07:45 +0900] "GET /edu/jsexam/exam1.html HTTP/1.1" 200 431
0:0:0:0:0:0:0:1 - - [20/Sep/2024:11:41:17 +0900] "GET /edu/jsexam/exam1_1.html HTTP/1.1" 200 624
0:0:0:0:0:0:0:1 - - [20/Sep/2024:11:47:34 +0900] "GET /edu/jsexam/exam1_2.html HTTP/1.1" 200 583
0:0:0:0:0:0:0:1 - - [20/Sep/2024:11:48:04 +0900] "GET /edu/jsexam/exam1_2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2024:11:48:09 +0900] "GET /edu/jsexam/exam1_2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2024:11:48:19 +0900] "GET /edu/jsexam/exam1_2.html HTTP/1.1" 200 686
0:0:0:0:0:0:0:1 - - [20/Sep/2024:11:54:13 +0900] "GET /edu/jsexam/exam1_2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2024:11:57:25 +0900] "GET /edu/jsexam/exam1_2.html HTTP/1.1" 200 673
0:0:0:0:0:0:0:1 - - [20/Sep/2024:11:57:39 +0900] "GET /edu/jsexam/exam1_3.html HTTP/1.1" 200 686
0:0:0:0:0:0:0:1 - - [20/Sep/2024:11:59:55 +0900] "GET /edu/jsexam/exam1_3.html HTTP/1.1" 200 657
0:0:0:0:0:0:0:1 - - [20/Sep/2024:12:00:42 +0900] "GET /edu/jsexam/exam1_3.html HTTP/1.1" 200 699
0:0:0:0:0:0:0:1 - - [20/Sep/2024:12:00:43 +0900] "GET /edu/jsexam/exam1_3.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2024:12:01:06 +0900] "GET /edu/jsexam/exam1_3.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2024:12:01:22 +0900] "GET /edu/jsexam/exam1_3.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2024:12:02:59 +0900] "GET /edu/jsexam/exam1_3.html HTTP/1.1" 200 699
0:0:0:0:0:0:0:1 - - [20/Sep/2024:12:06:51 +0900] "GET /edu/jsexam/exam2.html HTTP/1.1" 200 676
0:0:0:0:0:0:0:1 - - [20/Sep/2024:12:09:00 +0900] "GET /edu/jsexam/exam2.html HTTP/1.1" 200 686
0:0:0:0:0:0:0:1 - - [20/Sep/2024:12:21:03 +0900] "GET /edu/jsexam/exam3.html HTTP/1.1" 200 949
0:0:0:0:0:0:0:1 - - [20/Sep/2024:12:24:24 +0900] "GET /edu/jsexam/exam4.html HTTP/1.1" 200 1002
0:0:0:0:0:0:0:1 - - [20/Sep/2024:14:03:05 +0900] "GET /edu/jsexam/exam5.html HTTP/1.1" 200 1098
0:0:0:0:0:0:0:1 - - [20/Sep/2024:14:23:14 +0900] "GET /edu/jsexam/exam6.html HTTP/1.1" 200 677
0:0:0:0:0:0:0:1 - - [20/Sep/2024:14:26:11 +0900] "GET /edu/jsexam/exam6.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2024:14:27:39 +0900] "GET /edu/jsexam/exam6.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2024:14:31:36 +0900] "GET /edu/jsexam/exam7.html HTTP/1.1" 200 516
0:0:0:0:0:0:0:1 - - [20/Sep/2024:14:38:22 +0900] "GET /edu/jsexam/exam8.html HTTP/1.1" 200 572
0:0:0:0:0:0:0:1 - - [20/Sep/2024:14:38:49 +0900] "GET /edu/jsexam/exam8.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2024:14:47:02 +0900] "GET /edu/jsexam/exam8.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2024:15:08:26 +0900] "GET /edu/jsexam/exam8_2.html HTTP/1.1" 200 650
0:0:0:0:0:0:0:1 - - [20/Sep/2024:15:11:44 +0900] "GET /edu/jsexam/exam9.html HTTP/1.1" 200 995
0:0:0:0:0:0:0:1 - - [20/Sep/2024:15:28:09 +0900] "GET /edu/jsexam/exersize1.html HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [20/Sep/2024:15:28:21 +0900] "GET /edu/jsexam/exersize1.html HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [20/Sep/2024:15:28:31 +0900] "GET /edu/jsexam/exercize1.html HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [20/Sep/2024:15:29:05 +0900] "GET /edu/jsexam/exercise1.html HTTP/1.1" 200 283
0:0:0:0:0:0:0:1 - - [20/Sep/2024:15:30:29 +0900] "GET /edu/jsexam/exam1_1.html HTTP/1.1" 200 702
0:0:0:0:0:0:0:1 - - [20/Sep/2024:15:35:30 +0900] "GET /edu/jsexam/exercise1.html HTTP/1.1" 200 343
0:0:0:0:0:0:0:1 - - [20/Sep/2024:15:37:24 +0900] "GET /edu/jsexam/exercise1.html HTTP/1.1" 200 353
0:0:0:0:0:0:0:1 - - [20/Sep/2024:15:38:30 +0900] "GET /edu/jsexam/exercise1.html HTTP/1.1" 200 352
0:0:0:0:0:0:0:1 - - [20/Sep/2024:15:38:49 +0900] "GET /edu/jsexam/exercise1.html HTTP/1.1" 200 351
0:0:0:0:0:0:0:1 - - [20/Sep/2024:15:40:40 +0900] "GET /edu/jsexam/exercise2.html HTTP/1.1" 200 213
0:0:0:0:0:0:0:1 - - [20/Sep/2024:15:47:35 +0900] "GET /edu/jsexam/exercise2.html HTTP/1.1" 200 485
0:0:0:0:0:0:0:1 - - [20/Sep/2024:15:51:43 +0900] "GET /edu/jsexam/exercise2.html HTTP/1.1" 200 520
0:0:0:0:0:0:0:1 - - [20/Sep/2024:15:53:26 +0900] "GET /edu/jsexam/exercise2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2024:15:53:27 +0900] "GET /edu/jsexam/exercise2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2024:15:58:32 +0900] "GET /edu/jsexam/exercise2.html HTTP/1.1" 200 669
0:0:0:0:0:0:0:1 - - [20/Sep/2024:16:01:08 +0900] "GET /edu/jsexam/exercise2.html HTTP/1.1" 200 675
