127.0.0.1 - - [13/Sep/2024:09:03:54 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [13/Sep/2024:09:47:58 +0900] "GET /edu/second.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Sep/2024:09:47:58 +0900] "GET /edu/images/cloud.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Sep/2024:09:47:58 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [13/Sep/2024:09:48:01 +0900] "GET /edu/first.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Sep/2024:09:48:30 +0900] "GET /edu/first.htmlexam/exam.7html HTTP/1.1" 404 844
0:0:0:0:0:0:0:1 - - [13/Sep/2024:09:48:54 +0900] "GET /edu/first.htmlexam/exam.7html HTTP/1.1" 404 844
0:0:0:0:0:0:0:1 - - [13/Sep/2024:09:49:18 +0900] "GET /edu/htmlexam/exam7.html HTTP/1.1" 200 1027
0:0:0:0:0:0:0:1 - - [13/Sep/2024:09:50:31 +0900] "GET /edu/htmlexam/%EB%82%98%EC%A4%91%EC%97%90%ED%95%99%EC%8A%B5%ED%95%A0%EC%84%9C%EB%B8%94%EB%A6%BF%ED%94%84%EB%A1%9C%EA%B7%B8%EB%9E%A8%EC%9D%98URL?stname=%EC%9E%A5%ED%98%84%EC%88%98&stpwd=1234&stage=29&stcolor=%23000000&stfood=f4&gender=male HTTP/1.1" 404 957
0:0:0:0:0:0:0:1 - - [13/Sep/2024:09:54:03 +0900] "GET /edu/htmlexam/%EB%82%98%EC%A4%91%EC%97%90%ED%95%99%EC%8A%B5%ED%95%A0%EC%84%9C%EB%B8%94%EB%A6%BF%ED%94%84%EB%A1%9C%EA%B7%B8%EB%9E%A8%EC%9D%98URL?stname=%EC%9E%A5%ED%98%84%EC%88%98&stpwd=12334&stage=50&stcolor=%23c11f8e&stfood=f1&gender=male HTTP/1.1" 404 957
0:0:0:0:0:0:0:1 - - [13/Sep/2024:09:58:22 +0900] "GET /edu/htmlexam/exam9.html HTTP/1.1" 200 955
0:0:0:0:0:0:0:1 - - [13/Sep/2024:09:59:48 +0900] "GET /edu/htmlexam/......?a=2024-09-13&b=09%3A58&c=&d=2000-09&e= HTTP/1.1" 404 834
0:0:0:0:0:0:0:1 - - [13/Sep/2024:10:21:27 +0900] "GET /edu/htmlexam/exam8.html HTTP/1.1" 200 1936
0:0:0:0:0:0:0:1 - - [13/Sep/2024:10:27:59 +0900] "GET /edu/htmlexam/exam8.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Sep/2024:10:28:03 +0900] "GET /edu/htmlexam/exam8.html HTTP/1.1" 304 -
