127.0.0.1 - - [19/Sep/2024:09:03:23 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [19/Sep/2024:09:14:23 +0900] "GET /edu/htmlexam/exam10.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2024:09:14:23 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [19/Sep/2024:09:14:36 +0900] "GET /edu/htmlexam/csslab1.html HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [19/Sep/2024:09:14:44 +0900] "GET /edu/cssexam/csslab1.html HTTP/1.1" 200 703
0:0:0:0:0:0:0:1 - - [19/Sep/2024:09:28:26 +0900] "GET /edu/cssexam/exam6.html HTTP/1.1" 200 1308
0:0:0:0:0:0:0:1 - - [19/Sep/2024:09:28:26 +0900] "GET /edu/images/pink.gif HTTP/1.1" 200 59
0:0:0:0:0:0:0:1 - - [19/Sep/2024:09:46:34 +0900] "GET /edu/cssexam/exam6_1.html HTTP/1.1" 200 1781
0:0:0:0:0:0:0:1 - - [19/Sep/2024:10:25:48 +0900] "GET /edu/cssexam/exam7.html HTTP/1.1" 200 479
0:0:0:0:0:0:0:1 - - [19/Sep/2024:10:26:13 +0900] "GET /edu/cssexam/exam7_1.html HTTP/1.1" 200 643
0:0:0:0:0:0:0:1 - - [19/Sep/2024:10:28:02 +0900] "GET /edu/cssexam/exam7_1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2024:10:28:04 +0900] "GET /edu/cssexam/exam7_1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2024:10:28:06 +0900] "GET /edu/cssexam/exam7_1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2024:10:28:06 +0900] "GET /edu/cssexam/exam7_1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2024:10:28:17 +0900] "GET /edu/cssexam/exam7_1.html HTTP/1.1" 200 647
0:0:0:0:0:0:0:1 - - [19/Sep/2024:10:28:48 +0900] "GET /edu/cssexam/exam7_1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2024:10:28:48 +0900] "GET /edu/cssexam/exam7_1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2024:10:28:48 +0900] "GET /edu/cssexam/exam7_1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2024:10:28:49 +0900] "GET /edu/cssexam/exam7_1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2024:10:28:50 +0900] "GET /edu/cssexam/exam7_1.html HTTP/1.1" 304 -
